Theory name;line;Theorem name;Produced combinations;After first stage screening;After second stage screening;After third stage screening;Nth candidate;score;Functional?;Generalization?;Only on
Nearest_Neighbors;66;sqed_ge_0;40;32;27;27;1;20;1;0;1
Nearest_Neighbors;71;sqed_eq_0;40;32;27;27;1;20;1;0;1
Nearest_Neighbors;76;sqed_eq_0_rev;40;32;27;27;1;20;1;0;1
Nearest_Neighbors;81;sqed_com;40;32;27;27;2;20;1;0;2
Nearest_Neighbors;147;minimize_sqed;256;72;62;62;-;-;1;1;5
Nearest_Neighbors;228;sorted_insort_sqed;128;32;32;32;8;18;0;0;5
Nearest_Neighbors;285;sorted_sqed_last_take_mono;256;48;44;44;5;20;0;1;3
Nearest_Neighbors;292;sorted_sqed_last_insort_eq;128;32;32;32;4;20;0;0;1
Nearest_Neighbors;321;mnn_length;3210;192;192;192;-;-;0;1;1
Nearest_Neighbors;328;mnn_length_gt_0;2080;160;160;160;7;20;0;1;2
Nearest_Neighbors;335;mnn_length_gt_eq_m;2080;119;119;119;7;20;0;1;2
Nearest_Neighbors;344;mnn_sorted;2080;160;160;160;5;20;0;1;2
Nearest_Neighbors;350;mnn_set;3210;192;192;192;-;-;0;1;2
Nearest_Neighbors;359;mnn_distinct;2080;160;160;160;7;20;0;1;2
Nearest_Neighbors;388;mnn_le_last_ms;3120;192;184;184;7;20;0;1;2
Nearest_Neighbors;431;mnn_sqed;4160;204;188;188;-;20;0;1;-
