Theory name;line;Theorem name;Produced combinations;After first stage screening;After second stage screening;After third stage screening;Nth candidate;score;Functional?;Generalization?
RST_RBT;170;inorder_combine;60;44;40;40;1;20;1;0
RST_RBT;175;inorder_upd;640;80;72;64;1;20;1;0
RST_RBT;185;inorder_del;100;36;32;28;1;20;1;0
RST_RBT;227;inv_baliL;512;136;128;128;1;20;1;0
RST_RBT;232;invc_baliR;512;136;128;128;1;20;1;0
RST_RBT;242;bheight_baliL;384;112;104;104;1;20;1;0
RST_RBT;247;bheight_baliR;384;112;104;104;1;20;1;0
RST_RBT;257;invh_mkNode;512;136;128;128;1;20;1;0
RST_RBT;262;invh_baliR;512;136;128;128;1;20;1;0
RST_RBT;269;invc_upd;640;96;96;96;1;20;1;0
RST_RBT;276;invh_upd;384;64;56;56;1;20;1;0
RST_RBT;291;invpst_upd;384;64;56;56;1;20;1;0
RST_RBT;309;invh_baldL_invc;768;184;176;176;1;20;1;0
RST_RBT;316;invh_baldL_Black;640;160;160;160;1;20;1;0
RST_RBT;320;invc_baldL;640;160;160;160;1;20;1;0
RST_RBT;324;invc2_baldL;512;136;128;128;1;20;1;0
RST_RBT;331;invh_baldR_invc;768;184;176;176;1;20;1;0
RST_RBT;336;inv_baldR;640;160;160;160;1;20;1;0
RST_RBT;340;inv2_baldR;512;136;128;128;1;20;1;0
RST_RBT;347;invh_combine;80;56;52;52;1;20;1;0
RST_RBT;356;inv_combine;100;68;68;68;1;20;1;0
RST_RBT;366;del_inv_invh;140;60;60;60;1;20;1;0
RST_RBT;398;invpst_combine;60;44;40;40;1;20;1;0
RST_RBT;403;invpst_del;60;28;24;24;1;20;1;0
